Conta;Classificação;Tipo;Nome da conta contábil;Saldo anterior;Débito;Crédito;Saldo atual
1;01;T;ATIVO;66.900.329,87;172.561.907,97;171.787.088,44;67.675.149,40
2;01.01;T;CIRCULANTE;65.714.056,78;172.561.907,97;171.773.661,83;66.502.302,92
3;01.01.001;T;DISPONIBILIDADES;12.460.142,95;80.236.831,82;80.801.781,23;11.895.193,54
4;01.01.001.001;T;CAIXA;18.390,48;0,00;0,00;18.390,48
5;01.01.001.001.001;C;Caixa;18.390,48;0,00;0,00;18.390,48
621;01.01.001.001.001.001;;Caixa;1.815,25;0,00;0,00;1.815,25
623;01.01.001.001.001.003;;Caixa - Dolar;4.317,83;0,00;0,00;4.317,83
622;01.01.001.001.001.002;;Caixa - Euro;12.257,40;0,00;0,00;12.257,40
6;01.01.001.002;T;BANCOS CONTA MOVIMENTO;136.253,67;51.978.503,44;52.010.125,48;104.631,63
9;01.01.001.002.003;C;Banco Bradesco S/A;1,00;20.317.083,96;20.317.083,96;1,00
1023;01.01.001.002.003.001;;Banco Bradesco S/A;1,00;20.317.083,96;20.317.083,96;1,00
625;01.01.001.002.005;C;Banco Unicred S/A;136.169,09;27.672.572,43;27.704.193,66;104.547,86
626;01.01.001.002.005.001;;Banco Unicred S/A;136.169,09;27.672.572,43;27.704.193,66;104.547,86
631;01.01.001.002.008;C;Banco Itaú S/A;1,00;3.904.045,94;3.904.045,94;1,00
632;01.01.001.002.008.001;;Banco Itaú S/A;1,00;3.904.045,94;3.904.045,94;1,00
842;01.01.001.002.017;C;Banco Safra S/A;82,58;84.801,11;84.801,92;81,77
1102;01.01.001.002.017.001;;Banco Safra S/A;82,58;84.801,11;84.801,92;81,77
827;01.01.001.003;T;TRANSITÓRIA TRANSFERÊNCIA ENTRE CONTAS;0,00;20.116.000,00;20.116.000,00;0,00
828;01.01.001.003.001;;Transitória Transferência entre Contas;0,00;20.116.000,00;20.116.000,00;0,00
11;01.01.001.004;T;APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;12.305.498,80;8.142.328,38;8.675.655,75;11.772.171,43
653;01.01.001.004.003;C;Aplicação Banco Bradesco S/A;0,00;500.348,11;500.348,11;0,00
1124;01.01.001.004.003.002;;Aplicação Banco Bradesco S/A - I;0,00;500.348,11;500.348,11;0,00
657;01.01.001.004.005;C;Aplicação Banco Unicred S/A;12.303.510,05;7.528.190,58;8.173.504,49;11.658.196,14
658;01.01.001.004.005.001;;Aplicação Banco Unicred S/A;12.303.510,05;7.528.190,58;8.173.504,49;11.658.196,14
663;01.01.001.004.008;C;Aplicação Banco Itaú S/A;88,88;109.987,04;1,68;110.074,24
664;01.01.001.004.008.001;;Aplicação Banco Itaú S/A;88,88;109.987,04;1,68;110.074,24
