Conta;Classificação;Tipo;Nome da conta contábil;Saldo anterior;Débito;Crédito;Saldo atual
1;01;T;ATIVO;73.786.449,66;268.193.221,91;275.079.341,70;66.900.329,87
2;01.01;T;CIRCULANTE;72.590.731,40;268.189.305,74;275.065.980,36;65.714.056,78
3;01.01.001;T;DISPONIBILIDADES;22.705.456,09;138.289.495,92;148.534.809,06;12.460.142,95
4;01.01.001.001;T;CAIXA;18.390,48;0,00;0,00;18.390,48
5;01.01.001.001.001;C;Caixa;18.390,48;0,00;0,00;18.390,48
621;01.01.001.001.001.001;;Caixa;1.815,25;0,00;0,00;1.815,25
623;01.01.001.001.001.003;;Caixa - Dolar;4.317,83;0,00;0,00;4.317,83
622;01.01.001.001.001.002;;Caixa - Euro;12.257,40;0,00;0,00;12.257,40
6;01.01.001.002;T;BANCOS CONTA MOVIMENTO;6.940,22;94.082.899,33;93.953.585,88;136.253,67
9;01.01.001.002.003;C;Banco Bradesco S/A;0,00;49.215.934,21;49.215.933,21;1,00
1023;01.01.001.002.003.001;;Banco Bradesco S/A;0,00;49.215.934,21;49.215.933,21;1,00
625;01.01.001.002.005;C;Banco Unicred S/A;6.937,36;28.170.306,55;28.041.074,82;136.169,09
626;01.01.001.002.005.001;;Banco Unicred S/A;6.937,36;28.170.306,55;28.041.074,82;136.169,09
631;01.01.001.002.008;C;Banco Itaú S/A;1,00;16.609.758,40;16.609.758,40;1,00
632;01.01.001.002.008.001;;Banco Itaú S/A;1,00;16.609.758,40;16.609.758,40;1,00
842;01.01.001.002.017;C;Banco Safra S/A;1,86;86.900,17;86.819,45;82,58
1102;01.01.001.002.017.001;;Banco Safra S/A;1,86;86.900,17;86.819,45;82,58
827;01.01.001.003;T;TRANSITÓRIA TRANSFERÊNCIA ENTRE CONTAS;0,00;18.606.000,00;18.606.000,00;0,00
828;01.01.001.003.001;;Transitória Transferência entre Contas;0,00;18.606.000,00;18.606.000,00;0,00
11;01.01.001.004;T;APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;22.680.125,39;25.600.596,59;35.975.223,18;12.305.498,80
653;01.01.001.004.003;C;Aplicação Banco Bradesco S/A;10.608.396,14;8.820.524,21;19.428.920,35;0,00
1124;01.01.001.004.003.002;;Aplicação Banco Bradesco S/A - I;10.608.396,14;8.820.524,21;19.428.920,35;0,00
657;01.01.001.004.005;C;Aplicação Banco Unicred S/A;3.817.000,00;8.486.510,05;0,00;12.303.510,05
658;01.01.001.004.005.001;;Aplicação Banco Unicred S/A;3.817.000,00;8.486.510,05;0,00;12.303.510,05
663;01.01.001.004.008;C;Aplicação Banco Itaú S/A;8.253.229,21;8.289.262,33;16.542.402,66;88,88
664;01.01.001.004.008.001;;Aplicação Banco Itaú S/A;11.845,12;61,70;11.817,94;88,88
1149;01.01.001.004.008.002;;Aplicação Banco Itaú S/A - I;8.241.384,09;8.289.200,63;16.530.584,72;0,00
681;01.01.001.004.017;C;Aplicação Banco Safra S/A;1.500,04;4.300,00;3.900,17;1.899,87
682;01.01.001.004.017.001;;Aplicação Banco Safra S/A;1.500,04;4.300,00;3.900,17;1.899,87
782;01.01.002;T;APLICAÇÕES FINANCEIRAS;0,00;2.841.934,90;2.582.317,94;259.616,96
24;01.01.002.001;T;APLICAÇÕES FINANCEIRAS DE RENDA FIXA;0,00;2.841.934,90;2.582.317,94;259.616,96
685;01.01.002.001.003;C;Fundo/CDB Banco Bradesco S/A;0,00;2.841.934,90;2.582.317,94;259.616,96
686;01.01.002.001.003.001;;Fundo/CDB Banco Bradesco S/A;0,00;2.841.934,90;2.582.317,94;259.616,96
14;01.01.003;T;CLIENTES A RECEBER;22.921.613,30;21.930.981,15;23.547.143,01;21.305.451,44
15;01.01.003.001;T;CLIENTES NACIONAIS;22.921.613,30;21.930.981,15;23.547.143,01;21.305.451,44
16;01.01.003.001.000569999;;3b Mini Mercado E Padaria Ltda;0,00;14.192,18;0,00;14.192,18
16;01.01.003.001.000256023;;451 - Comercio De Generos Alimenticios Willner;12.688,36;12.689,43;12.688,36;12.689,43
16;01.01.003.001.000060166;;A. C. D. A. Importacao E Exportacao Ltda;43.516,35;23.127,04;43.516,35;23.127,04
16;01.01.003.001.000004187;;Abv Comercio De Alimentos Ltda;0,00;2.336,81;2.336,81;0,00
16;01.01.003.001.000254201;;Americanas S.a;901.500,03;34.304,02;934.957,93;846,12
16;01.01.003.001.000317158;;Arapongas Supermercado Eireli;0,00;39.472,75;15.819,12;23.653,63
16;01.01.003.001.000132306;;Armazem Do Grao Ltda;164.120,80;655.145,67;262.865,81;556.400,66
16;01.01.003.001.000563882;;Armazém Mateus S.a;0,00;49.169,86;0,00;49.169,86
16;01.01.003.001.000320341;;Atacadao Dia A Dia Ltda ( Águas );33.605,66;0,00;33.605,66;0,00
16;01.01.003.001.000251149;;Atacado De Alimentos Gc Ltda;132.628,61;51.066,28;124.166,13;59.528,76
16;01.01.003.001.000321447;;Atlas Rio Distribuidora Ltda;580.705,27;99.395,96;433.195,47;246.905,76
16;01.01.003.001.000004029;;Barcelos & Cia Ltda;289.711,05;249.147,19;449.868,36;88.989,88
16;01.01.003.001.000128008;;Bem Que Tem Hortifruti Ltda;795,24;0,00;795,24;0,00
16;01.01.003.001.000004009;;Big Mais Supermercados Ltda;77.501,65;106.570,74;71.567,56;112.504,83
16;01.01.003.001.000637198;;Bistek Supermercados Ltda;824.637,00;1.134.248,30;1.173.402,14;785.483,16
16;01.01.003.001.000004184;;Bom Vizinho Distribuidora De Alimentos Ltda.;319.581,84;259.718,59;208.822,58;370.477,85
16;01.01.003.001.000424326;;Boniatti Speciale Comércio De Alimentos Ltda;13.792,25;0,00;9.275,29;4.516,96
16;01.01.003.001.000249694;;Brasao Supermercados S/a;95.420,94;435.013,78;123.334,07;407.100,65
16;01.01.003.001.000487582;;Cabral E Maia Ltda;23.647,71;23.653,63;47.301,34;0,00
16;01.01.003.001.000059945;;Casa Avenida Comercio E Importacao S.a.;31.333,07;18.295,42;31.333,07;18.295,42
16;01.01.003.001.000004064;;Casa Deliza Ltda.;178.936,18;539.013,26;425.989,41;291.960,03
16;01.01.003.001.000004054;;Casa Santa Luzia Importadora Ltda;345.848,62;733.774,77;477.244,65;602.378,74
16;01.01.003.001.000562097;;Cb Supermercado Ltda;0,00;9.564,88;9.564,88;0,00
