Conta;Classificação;Tipo;Nome da conta contábil;Saldo anterior;Débito;Crédito;Saldo atual
1;01;T;ATIVO;90.147.177,56;199.290.439,82;196.798.041,42;92.639.575,96
2;01.01;T;CIRCULANTE;88.845.361,98;199.256.903,07;196.780.420,81;91.321.844,24
3;01.01.001;T;DISPONIBILIDADES;19.228.469,08;98.264.364,54;95.939.426,74;21.553.406,88
4;01.01.001.001;T;CAIXA;18.390,48;0,00;0,00;18.390,48
5;01.01.001.001.001;C;Caixa;18.390,48;0,00;0,00;18.390,48
621;01.01.001.001.001.001;;Caixa;1.815,25;0,00;0,00;1.815,25
623;01.01.001.001.001.003;;Caixa - Dolar;4.317,83;0,00;0,00;4.317,83
622;01.01.001.001.001.002;;Caixa - Euro;12.257,40;0,00;0,00;12.257,40
6;01.01.001.002;T;BANCOS CONTA MOVIMENTO;408.245,49;58.700.822,41;59.106.554,47;2.513,43
9;01.01.001.002.003;C;Banco Bradesco S/A;1,00;31.304.052,19;31.304.052,19;1,00
1023;01.01.001.002.003.001;;Banco Bradesco S/A;1,00;31.295.979,99;31.295.979,99;1,00
1027;01.01.001.002.003.005;;Banco Bradesco S/A - IV;0,00;8.072,20;8.072,20;0,00
625;01.01.001.002.005;C;Banco Unicred S/A;408.232,31;22.853.359,14;23.259.155,86;2.435,59
626;01.01.001.002.005.001;;Banco Unicred S/A;408.232,31;22.853.359,14;23.259.155,86;2.435,59
631;01.01.001.002.008;C;Banco Itaú S/A;1,00;4.384.809,08;4.384.809,08;1,00
632;01.01.001.002.008.001;;Banco Itaú S/A;1,00;4.384.809,08;4.384.809,08;1,00
842;01.01.001.002.017;C;Banco Safra S/A;11,18;158.602,00;158.537,34;75,84
1102;01.01.001.002.017.001;;Banco Safra S/A;11,18;158.602,00;158.537,34;75,84
827;01.01.001.003;T;TRANSITÓRIA TRANSFERÊNCIA ENTRE CONTAS;0,00;25.274.092,28;25.274.092,28;0,00
828;01.01.001.003.001;;Transitória Transferência entre Contas;0,00;25.274.092,28;25.274.092,28;0,00
11;01.01.001.004;T;APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;18.801.833,11;14.289.449,85;11.558.779,99;21.532.502,97
653;01.01.001.004.003;C;Aplicação Banco Bradesco S/A;1.399.148,51;14.205.040,18;8.201.842,51;7.402.346,18
1124;01.01.001.004.003.002;;Aplicação Banco Bradesco S/A - I;1.399.148,51;14.205.040,18;8.201.842,51;7.402.346,18
657;01.01.001.004.005;C;Aplicação Banco Unicred S/A;17.288.250,56;5.108,00;3.214.739,96;14.078.618,60
658;01.01.001.004.005.001;;Aplicação Banco Unicred S/A;17.288.250,56;5.108,00;3.214.739,96;14.078.618,60
663;01.01.001.004.008;C;Aplicação Banco Itaú S/A;111.833,70;0,00;61.595,52;50.238,18
664;01.01.001.004.008.001;;Aplicação Banco Itaú S/A;111.833,70;0,00;61.595,52;50.238,18
681;01.01.001.004.017;C;Aplicação Banco Safra S/A;2.600,34;79.301,67;80.602,00;1.300,01
682;01.01.001.004.017.001;;Aplicação Banco Safra S/A;2.600,34;79.301,67;80.602,00;1.300,01
782;01.01.002;T;APLICAÇÕES FINANCEIRAS;129.041,54;571.333,79;60,97;700.314,36
24;01.01.002.001;T;APLICAÇÕES FINANCEIRAS DE RENDA FIXA;129.041,54;571.333,79;60,97;700.314,36
685;01.01.002.001.003;C;Fundo/CDB Banco Bradesco S/A;129.041,54;571.333,79;60,97;700.314,36
686;01.01.002.001.003.001;;Fundo/CDB Banco Bradesco S/A;129.041,54;571.333,79;60,97;700.314,36
14;01.01.003;T;CLIENTES A RECEBER;27.229.375,13;25.229.488,60;23.060.308,13;29.398.555,60
15;01.01.003.001;T;CLIENTES NACIONAIS;27.229.375,13;25.229.488,60;23.060.308,13;29.398.555,60
16;01.01.003.001.000569999;;3b Mini Mercado E Padaria Ltda;14.192,18;14.192,18;28.384,36;0,00
16;01.01.003.001.000256023;;451 - Comercio De Generos Alimenticios Willner;12.181,85;0,00;12.181,85;0,00
16;01.01.003.001.000317671;;724 - Chapada Comercio De Alimentos Ltda;0,00;13.793,96;0,00;13.793,96
16;01.01.003.001.000060166;;A. C. D. A. Importacao E Exportacao Ltda;9.163,64;18.865,36;9.163,64;18.865,36
16;01.01.003.001.000566697;;Adeilton Da Silva Paiva 07876995438;4.711,12;11.834,76;4.711,12;11.834,76
16;01.01.003.001.000185617;;Aguiar Azevedo Empreendimentos Ltda;14.580,51;18.010,30;15.067,47;17.523,34
16;01.01.003.001.000803819;;Amara Supermercados Ltda;0,00;14.721,24;0,00;14.721,24
16;01.01.003.001.000254201;;Americanas S.a;530.709,26;401.672,26;567.161,73;365.219,79
16;01.01.003.001.000317158;;Arapongas Supermercado Eireli;23.653,63;198,69;23.852,32;0,00
16;01.01.003.001.000132306;;Armazem Do Grao Ltda;226.685,45;304.772,07;86.411,11;445.046,41
16;01.01.003.001.000563882;;Armazém Mateus S.a;3.158,36;0,00;0,00;3.158,36
16;01.01.003.001.000887639;;Astolpho Goncalves Supermercados Ltda;8.914,67;0,00;8.914,67;0,00
16;01.01.003.001.000251149;;Atacado De Alimentos Gc Ltda;22.991,14;23.809,64;22.991,14;23.809,64
16;01.01.003.001.000647196;;Ataq Distribuição E Logistica Ltda;35.854,85;0,00;35.854,85;0,00
16;01.01.003.001.001028277;;Atlantida Distribuidora De Produtos Alimentícios Ltda;0,00;48.938,26;0,00;48.938,26
16;01.01.003.001.000321447;;Atlas Rio Distribuidora Ltda;147.652,47;105.362,10;117.531,63;135.482,94
16;01.01.003.001.000004029;;Barcelos & Cia Ltda;141.309,74;1.489.380,24;38.154,87;1.592.535,11
16;01.01.003.001.000319879;;Beed Comunicacao Ltda;3.692,00;0,00;3.692,00;0,00
16;01.01.003.001.000128008;;Bem Que Tem Hortifruti Ltda;28.619,75;38.697,83;29.560,01;37.757,57
16;01.01.003.001.000004009;;Big Mais Supermercados Ltda;200.156,80;85.562,51;219.602,48;66.116,83
16;01.01.003.001.000637198;;Bistek Supermercados Ltda;1.328.451,52;1.575.524,08;1.334.632,41;1.569.343,19
16;01.01.003.001.000004184;;Bom Vizinho Distribuidora De Alimentos Ltda.;115.569,01;190.668,77;66.387,08;239.850,70
16;01.01.003.001.000424326;;Boniatti Speciale Comércio De Alimentos Ltda;13.792,25;0,00;13.792,25;0,00
16;01.01.003.001.000249694;;Brasao Supermercados S/a;428.020,11;313.920,53;421.770,04;320.170,60
16;01.01.003.001.000059945;;Casa Avenida Comercio E Importacao S.a.;7.866,58;578,54;0,00;8.445,12
16;01.01.003.001.000004064;;Casa Deliza Ltda.;666.894,76;427.486,20;873.546,65;220.834,31
16;01.01.003.001.000881207;;Casa Fidelis Ltda;15.941,47;16.441,42;15.941,47;16.441,42
16;01.01.003.001.000004054;;Casa Santa Luzia Importadora Ltda;510.788,05;521.515,19;617.368,32;414.934,92
16;01.01.003.001.000004035;;Center Vila Comercio De Alimentos Ltda;55.569,92;40.937,02;86.399,99;10.106,95
16;01.01.003.001.000490621;;Centerbox Lanchonete E Restaurante;29.715,56;0,00;29.715,56;0,00
16;01.01.003.001.000562934;;Central De Negócios E Alimentos Rede Top Ltda;0,00;14.192,18;0,00;14.192,18
16;01.01.003.001.000320353;;Cerealista Martendal Ltda;14.341,62;0,00;14.341,62;0,00
16;01.01.003.001.000004063;;Cesta Basica Olindense Ltda;144.344,13;189.654,22;105.767,23;228.231,12
