Conta;Classificação;Tipo;Nome da conta contábil;Saldo anterior;Débito;Crédito;Saldo atual
1;01;T;ATIVO;67.675.149,40;188.597.407,42;184.839.559,36;71.432.997,46
2;01.01;T;CIRCULANTE;66.502.302,92;188.589.807,42;184.826.132,75;70.265.977,59
3;01.01.001;T;DISPONIBILIDADES;11.895.193,54;86.905.106,36;87.666.717,28;11.133.582,62
4;01.01.001.001;T;CAIXA;18.390,48;0,00;0,00;18.390,48
5;01.01.001.001.001;C;Caixa;18.390,48;0,00;0,00;18.390,48
621;01.01.001.001.001.001;;Caixa;1.815,25;0,00;0,00;1.815,25
623;01.01.001.001.001.003;;Caixa - Dolar;4.317,83;0,00;0,00;4.317,83
622;01.01.001.001.001.002;;Caixa - Euro;12.257,40;0,00;0,00;12.257,40
6;01.01.001.002;T;BANCOS CONTA MOVIMENTO;104.631,63;54.725.950,41;54.829.666,14;915,90
9;01.01.001.002.003;C;Banco Bradesco S/A;1,00;27.697.926,07;27.697.926,57;0,50
1023;01.01.001.002.003.001;;Banco Bradesco S/A;1,00;27.697.926,07;27.697.926,57;0,50
625;01.01.001.002.005;C;Banco Unicred S/A;104.547,86;25.366.680,01;25.470.341,37;886,50
626;01.01.001.002.005.001;;Banco Unicred S/A;104.547,86;25.366.680,01;25.470.341,37;886,50
631;01.01.001.002.008;C;Banco Itaú S/A;1,00;1.500.441,90;1.500.441,90;1,00
632;01.01.001.002.008.001;;Banco Itaú S/A;1,00;1.500.441,90;1.500.441,90;1,00
842;01.01.001.002.017;C;Banco Safra S/A;81,77;160.902,43;160.956,30;27,90
1102;01.01.001.002.017.001;;Banco Safra S/A;81,77;160.902,43;160.956,30;27,90
827;01.01.001.003;T;TRANSITÓRIA TRANSFERÊNCIA ENTRE CONTAS;0,00;22.018.000,00;22.018.000,00;0,00
828;01.01.001.003.001;;Transitória Transferência entre Contas;0,00;22.018.000,00;22.018.000,00;0,00
11;01.01.001.004;T;APLICAÇÕES DE LIQUIDEZ IMEDIATA - FAF;11.772.171,43;10.161.155,95;10.819.051,14;11.114.276,24
653;01.01.001.004.003;C;Aplicação Banco Bradesco S/A;0,00;5.803.044,20;3.453.139,66;2.349.904,54
1124;01.01.001.004.003.002;;Aplicação Banco Bradesco S/A - I;0,00;5.803.044,20;3.453.139,66;2.349.904,54
657;01.01.001.004.005;C;Aplicação Banco Unicred S/A;11.658.196,14;4.276.602,43;7.174.644,11;8.760.154,46
658;01.01.001.004.005.001;;Aplicação Banco Unicred S/A;11.658.196,14;4.276.602,43;7.174.644,11;8.760.154,46
663;01.01.001.004.008;C;Aplicação Banco Itaú S/A;110.074,24;7,79;109.364,94;717,09
